Time,Rem
1987,2303.89
1988,2477.42
1989,2496.09
1990,2725.62
1991,3241.45
1992,3697.04
1993,4354.9
1994,4814.47
1995,4970.04
1996,6300.04
1997,6934.6
1998,8197.78
1999,9807.03
2000,10170.01
2001,14363.98472
2002,17728.806
2003,19874.38708
2004,23624.65008
2005,32265.5886
2006,41298.54082
2007,54295.1596
2008,66676.51486
2009,76014.77682
2010,83008.88507
2011,101882.7811
2012,115646.1585
2013,110582.3834
2014,118982.3155
2015,116856.7209
2016,101098.9624
2017,123156.0049
